Date,SMB,HML,WML,MF,RF
2012-08,3.1700821,-5.2648825,11.4212129,-0.1907405,0.67373401
2012-09,-1.7703538,8.00275573,-7.7397647,6.48057223,0.60252758
2012-10,4.01055939,-3.1174294,2.83748536,-1.5377255,0.70625621
2012-11,-4.9076483,9.24568744,-3.1543617,2.27823177,0.64662316
2012-12,-0.8206259,0.75949547,0.08009364,0.74161976,0.66926431
2013-01,-5.4635668,-3.4165982,2.51145999,1.28965103,0.65819548
2013-02,-0.6497474,-10.642053,7.86032432,-6.4323365,0.59050864
2013-03,-1.3079081,-5.6168901,4.17231748,-2.3976162,0.59774272
2013-04,-9.3523827,18.6472548,-3.6188158,2.34914699,0.68430814
2013-05,-3.2208454,-0.5847333,7.87954205,0.0094027,0.60820635
2013-06,-6.7076447,0.05479396,11.5309719,-3.8355071,0.5491742
2013-07,-7.6645963,0.86681983,11.5872195,-0.7202836,0.71663658
2013-08,0.14801893,-4.2050885,-7.8648293,-2.8403164,0.87591903
2013-09,-0.0424336,4.00925359,-7.6955757,3.94451072,0.87507451
2013-10,-0.7060286,0.38032556,-5.6757435,6.38931946,0.73819186
2013-11,5.29653301,2.02076744,-3.8161227,-0.9404574,0.67104878
2013-12,2.81015144,3.90889385,-0.4622252,3.24920457,0.73571141
2014-01,1.38372843,-7.4149657,3.92266639,-3.7670573,0.71284472
2014-02,2.74911716,-2.2376311,4.71136873,1.60010504,0.66559431
2014-03,-0.4346632,5.60051726,-9.6406659,5.2371709,0.74573923
2014-04,5.70276119,7.72735884,-3.3262993,0.03754775,0.70155325
2014-05,4.52577272,10.2544642,-8.6654472,9.83022045,0.69380479
2014-06,9.85028153,5.31038528,2.6910802,6.89319564,0.69999312
2014-07,0.70240957,-9.4346613,-1.3759677,-0.1722875,0.70063263
2014-08,3.56581993,-5.2801051,5.41767303,2.54061954,0.63758973
2014-09,5.40546405,-1.4260156,6.17725573,1.41997218,0.74721838
2014-10,-1.6339596,1.44194984,2.15190051,1.11444777,0.69340264
2014-11,1.86098117,-1.2124823,5.61444221,1.06276284,0.61485764
2014-12,4.52282079,-5.2767969,4.7978444,-3.0230416,0.7219034
2015-01,0.11838726,0.92478021,3.41798463,5.00905823,0.65821499
2015-02,-0.3054552,0.10452788,1.0098725,0.52884352,0.63451465
2015-03,0.25167895,-5.9512475,8.62077766,-2.4345683,0.67862471
2015-04,1.73748204,2.99401707,-5.5309753,-3.6323775,0.63012578
2015-05,0.59114093,-4.2501433,3.47854877,3.09475089,0.60845517
2015-06,-1.7695825,-0.9020277,3.6913145,-1.6613027,0.65292372
2015-07,9.22144937,5.54513621,9.002023,2.61475763,0.61770512
2015-08,0.47728694,-3.3052194,5.43463957,-6.1192914,0.60810091
2015-09,0.42265775,2.02045278,2.15135778,-1.0040457,0.59069613
2015-10,0.53246441,7.73678315,-6.5641765,1.77194839,0.56284124
2015-11,7.78738641,0.38595151,1.21317121,-1.5103354,0.58600826
2015-12,-1.3187069,6.26219722,-0.3444722,1.16251588,0.59134778
2016-01,-1.5567243,-5.572389,1.09587424,-6.0325282,0.55750708
2016-02,-8.8297012,-4.5019835,-3.6850964,-8.7605231,0.60340746
2016-03,-1.8791223,5.77191133,-2.724547,9.95294951,0.59742866
2016-04,2.95418782,5.51587825,-1.7739213,1.83239905,0.53229902
2016-05,1.46914161,-3.8502109,-0.2210567,0.67176709,0.5819252
2016-06,5.42143562,1.55164514,-2.7207563,3.18681918,0.54189324
2016-07,-1.968931,3.29560026,1.43291442,4.18023929,0.50932137
2016-08,-0.9176778,-1.677848,2.46343851,0.61066429,0.57600096
2016-09,1.16030755,0.08115098,1.63805197,-0.9668664,0.52178521
2016-10,5.06487243,8.13881758,3.14108499,2.53740762,0.51033025
2016-11,-8.4054391,3.54902144,0.73891965,-5.6563973,0.50788777
2016-12,-0.306712,-1.7844973,-0.8429753,-1.3466881,0.48675786
2017-01,0.09007107,8.71854411,4.31469259,4.88674103,0.53246581
2017-02,0.08594,0.59266779,-2.007568,3.77661856,0.45950185
2017-03,1.53451739,0.73873671,1.98752519,2.6944863,0.49181205
2017-04,6.59684484,0.82405797,3.60135557,1.91165114,0.44545828
2017-05,-2.5738732,-5.1438627,2.23629361,-0.2971192,0.54942918
2017-06,1.93182375,1.64884476,-1.0068252,-0.5396078,0.50176102
2017-07,-0.5202901,6.79825374,0.24679992,4.02137089,0.51314897
2017-08,-4.2678565,3.59533104,7.36133619,-0.1998955,0.50693598
2017-09,0.69680726,1.09801117,-2.7504801,-1.4642591,0.47109459
2017-10,1.35922649,6.91352647,3.96680696,8.13763549,0.51938975
2017-11,5.7069773,-3.5847977,-0.0452089,0.06268481,0.48826167
2017-12,0.64220455,5.18796714,-1.868842,4.44017413,0.47591918
2018-01,-3.3195188,-0.9385778,0.44509033,-0.5251936,0.55468046
2018-02,-1.290588,-2.5762219,1.73490518,-3.4928949,0.47502946
2018-03,-2.7013498,-6.8002566,4.63663671,-5.2425286,0.46667803
2018-04,0.77891892,-0.5755412,3.82399264,6.49878479,0.5381729
2018-05,-4.2242313,-2.0529379,2.41989551,-4.0999691,0.51989891
2018-06,-6.4678341,-5.0040322,0.69374098,-2.8892823,0.50022328
2018-07,-0.169721,-2.0060237,2.69470916,4.6858136,0.55688608
2018-08,-1.4048829,-0.1802985,4.7156591,4.32468126,0.55607948
2018-09,-10.626478,-2.7723207,5.19163924,-8.016351,0.51598238
2018-10,4.86626278,2.02342972,-0.7867049,-5.9040983,0.61472148
2018-11,-0.1611482,-3.6374801,-1.1043403,2.28025187,0.54852146
2018-12,1.23786803,1.48471503,-3.3413732,-0.3974975,0.55073089
2019-01,-4.0526588,-4.8821271,5.66858093,-2.4376209,0.54666355
2019-02,-4.9338478,-0.4417162,-2.3502929,-0.6822463,0.48209351
2019-03,1.84639361,0.92548937,-2.6427085,5.53639743,0.49101892
2019-04,-2.848304,-1.67299,2.70463219,0.4109951,0.53696718
2019-05,2.09010921,-0.9322684,2.88743642,-0.971915,0.52814636
2019-06,-5.8395325,-3.5441305,7.24199855,-2.3656831,0.45017714
2019-07,-5.1485979,-6.6402271,11.4887032,-6.7473008,0.51574711
2019-08,0.15230571,-9.6753185,6.96872127,0.06893389,0.44082765
2019-09,-0.3170102,1.85959579,-2.5461154,4.22990548,0.44337849
2019-10,-3.2858719,-2.359748,5.47190414,4.03185775,0.4303629
2019-11,-3.2600404,5.05609571,-8.8905048,-1.8626989,0.39055339
2019-12,-1.138679,-0.0694315,1.94771358,-0.2823757,0.42672589
2020-01,8.89549651,-3.0257788,0.78853458,0.90471868,0.42019085
2020-02,-0.8055754,-9.367888,10.8589929,-6.3181009,0.38184257
2020-03,-14.088355,-8.2935749,13.7662365,-18.80978,0.42506442
2020-04,1.96977676,7.12000545,-13.484765,13.8849911,0.33253972
2020-05,-4.8460104,1.02427437,0.95953069,0.48871049,0.27037465
2020-06,8.87697951,13.6140917,-5.8271184,7.72021315,0.28454142
2020-07,-2.989077,-4.2776347,4.3414782,7.10654746,0.26800043
2020-08,7.20686721,4.95276676,-8.3812357,3.13181892,0.27133854
2020-09,2.67919073,-8.4030177,9.10082352,2.23664317,0.26483947
2020-10,0.32518116,-1.450709,-0.1643465,0.41858926,0.26405837
2020-11,-3.4368115,10.0669733,-8.1988202,7.0189823,0.23462808
2020-12,1.83052873,10.2794585,-3.7509732,8.05285102,0.28213202
2021-01,0.59219513,-2.5540176,-1.7755214,-0.7843118,0.25002724
2021-02,-3.7331548,11.349906,2.76855604,6.20973969,0.24891893
2021-03,-2.6946605,-1.9274214,3.49484287,2.98892863,0.28979919
2021-04,0.68645388,10.5584423,5.79659503,1.45094218,0.27000609
2021-05,5.12171809,2.30881826,0.21200916,7.4275526,0.28083045
2021-06,7.81335894,4.38214132,-1.6724747,3.05465721,0.2778393
2021-07,5.29685522,7.12904491,3.91496614,1.73693227,0.27755769
2021-08,-8.1047481,-7.1379152,2.88233179,5.67978582,0.28981422
2021-09,-1.6146068,10.3893828,-2.4761634,4.18716892,0.26783476
2021-10,1.68542767,0.64668442,6.7480875,-1.1338168,0.26969635
2021-11,2.0953484,-1.3514898,4.69104887,-0.9544351,0.30726727
2021-12,6.04073434,1.13102841,3.49241309,3.83015925,0.29796728
2022-01,-0.6880295,10.8500674,-0.4832907,-1.5658633,0.30303333
2022-02,-6.819039,-2.3061333,-1.6279224,-4.3261588,0.28536076
2022-03,2.05045471,0.75516029,7.21749329,4.70065499,0.31509482
2022-04,2.18108872,4.31109376,-2.8991902,1.3974634,0.30598145
2022-05,-3.4991566,-2.3027347,-6.0504282,-6.5612817,0.39284838
2022-06,0.23258911,-2.9635811,1.63984333,-4.9347779,0.40344207
2022-07,2.31348847,-3.2585464,-2.9620021,8.27476309,0.40811974
2022-08,1.03199095,2.33361997,6.1786344,4.90438649,0.47723275
2022-09,3.45046862,-2.2806877,1.69657371,-3.5608497,0.47487581
2022-10,-2.5152668,3.19763502,-0.3571544,1.9150297,0.51673152
2022-11,-0.4213106,5.53020411,-1.6656373,2.33829554,0.51503079
2022-12,1.74187829,2.83714638,-0.0348718,-3.9759602,0.51103104
2023-01,0.36773966,3.81325063,-3.1893236,-4.5392,0.54440229
2023-02,-2.2814911,0.31429407,-1.8769981,-5.4679583,0.49701615
2023-03,-2.4100971,0.83047262,1.92172537,0.30646541,0.5653701
2023-04,6.18926447,2.88521921,-3.8882016,4.06999756,0.50536051
2023-05,2.10295528,-1.730771,2.22269936,3.80172797,0.60101775
2023-06,3.41759831,1.38830674,2.26511773,4.26254151,0.53907553
2023-07,2.07595735,6.81640371,6.30060023,4.43280419,0.55429106
2023-08,8.74934065,2.07539819,0.74839844,0.31016585,0.55927989
2023-09,-1.4236323,4.97716842,1.06550725,1.72671781,0.52620684
2023-10,3.38461685,-0.1006276,3.61625162,-2.8678948,0.58532031
2023-11,-1.2373164,5.1785275,4.98258147,7.31528754,0.55229908
2023-12,-4.7470809,4.02994157,-1.509953,7.9760801,0.5354465
2024-01,1.69577468,9.82189812,5.82075424,4.0190378,0.60874376
2024-02,-4.8621515,0.51359281,3.38364892,1.63696829,0.54084851
2024-03,-7.7436807,0.53488533,2.49484975,-0.7865558,0.51320931
2024-04,7.01935877,4.65533123,1.15478873,3.83105394,0.60527373
2024-05,-3.3059398,-2.7703398,2.91360994,1.2395062,0.57215045
2024-06,4.74168389,-1.4626469,0.5408418,6.60790519,0.5082885
2024-07,0.82404731,4.16798922,-2.1811529,5.10790863,0.59248493
2024-08,1.9327422,-0.9250878,-0.6288112,0.03929453,0.52950351
2024-09,-0.8332643,-0.7418534,-1.6750706,1.01898055,0.54717974
2024-10,6.98216365,-4.5582426,2.29634781,-7.7250216,0.53416553
2024-11,2.19063841,-0.9818456,2.267371,-0.7334581,0.49848155
2024-12,2.0749373,-0.9526137,2.74455338,-1.9562568,0.55099283
2025-01,-6.4586763,1.39722982,-6.3367243,-4.9773466,0.5436492
2025-02,-6.9453145,0.01055296,1.03001519,-11.256307,0.48187815
2025-03,-3.1569832,2.10000065,0.13417773,7.02163198,0.48309632
